"risk_group","n","predicted_risk","observed_mortality","observed_deaths","n_cre","cre_rate","se","lower_ci","upper_ci"
"1",69,0.138631597623099,0.0579710144927536,4,0,0,0.0281328051253992,0.00283071644697112,0.113111312538536
"2",69,0.209579380049397,0.0289855072463768,2,0,0,0.0201966231989004,0,0.0685708887162217
"3",69,0.238950828622507,0.0434782608695652,3,0,0,0.0245504218510122,0,0.0915970876975491
"4",68,0.270091578209034,0.0294117647058824,2,0,0,0.0204891337064481,0,0.0695704667705207
"5",69,0.352890132695905,0.115942028985507,8,9,0.130434782608696,0.0385421799621562,0.0403993562596811,0.191484701711333
"6",69,0.40637803047643,0.072463768115942,5,9,0.130434782608696,0.0312105450468502,0.0112910998241157,0.133636436407768
"7",68,0.449537812827988,0.176470588235294,12,20,0.294117647058824,0.0462297204701986,0.0858603361137049,0.267080840356883
"8",69,0.532277842408045,0.333333333333333,23,36,0.521739130434783,0.0567504353839166,0.222102479980857,0.44456418668581
"9",69,0.628664101675203,0.347826086956522,24,48,0.695652173913043,0.0573374324691989,0.235444719316892,0.460207454596152
"10",69,0.79183691962772,0.434782608695652,30,68,0.985507246376812,0.0596786918339084,0.317812372701192,0.551752844690113
